dataset,majority_class_acc,random_encoder_linear_probe_acc_mean,random_encoder_finetune_acc_mean,random_encoder_n_seeds
ecg5000,0.5837777777777777,0.6663703703703704,0.932074074074074,3
forda,0.5159090909090909,0.5159090909090909,0.9060606060606061,3
har,0.18221920597217509,0.4468951476077367,0.8887003732609434,3
spokenarabicdigits,0.1,0.4566666666666667,0.9909090909090909,3
eigenworms,0.4198473282442748,0.4198473282442748,0.7786259541984734,3
