dataset,alpha,projector_width,seed,final_erank_clean_h,final_erank_clean_z,final_erank_aug_z_LEGACY,early_erank_clean_h_5ep,early_erank_aug_z_5ep_LEGACY,linear_probe_test_acc,finetune_test_acc
har,0.0,64,0,29.510717391967773,53.573463439941406,41.242978648135534,26.075180053710938,28.854132167079992,0.7852052935188327,0.9080420766881574
har,0.0,64,1,27.24673080444336,52.769134521484375,41.37238181264777,22.560518264770508,28.30311223080284,0.7957244655581948,0.9127926705123854
har,0.0,64,2,28.260887145996094,53.920135498046875,41.53602653637267,25.70590591430664,28.663919197885615,0.8059043094672549,0.9049881235154394
har,0.0,64,3,27.2999324798584,55.00139617919922,41.17341935007196,24.57602310180664,28.559870452211616,0.7869019341703427,0.8897183576518494
har,0.0,64,4,28.091188430786133,53.44529724121094,41.44069420663934,24.838815689086914,28.840983290421335,0.7767220902612827,0.848320325755005
har,0.25,64,0,21.182941436767578,48.3985595703125,38.76558129829273,19.438499450683594,24.27596885279605,0.8154054971157109,0.9097387173396675
har,0.25,64,1,21.25851821899414,47.75259017944336,38.761863574647066,19.279218673706055,24.31808090209961,0.8218527315914489,0.9277231082456736
har,0.25,64,2,21.517536163330078,44.957740783691406,37.88224119889109,18.696331024169922,24.316641004461992,0.8242280285035629,0.8775025449609772
har,0.25,64,3,21.19968032836914,47.30946731567383,38.5178347135845,17.599882125854492,24.620050129137542,0.823549372242959,0.9100780454699695
har,0.25,64,4,22.325458526611328,46.8089599609375,37.90768984744423,20.38407325744629,24.776668046650133,0.829996606718697,0.9117746861214795
har,0.5,64,0,19.858625411987305,38.87944412231445,34.23078051784582,18.85431671142578,21.881800316927727,0.8489989820156091,0.8092975907702749
har,0.5,64,1,18.996429443359375,39.94660186767578,33.87022841604132,17.6081600189209,22.532998988502904,0.835086528673227,0.9110960298608755
har,0.5,64,2,18.304981231689453,36.33585739135742,33.85085902297706,16.931438446044922,21.796621138589423,0.827281981676281,0.8880217170003394
har,0.5,64,3,18.261119842529297,39.99325180053711,34.0334070272613,16.30805015563965,22.564201187669184,0.8615541228367831,0.9100780454699695
har,0.5,64,4,20.474994659423828,38.734840393066406,34.3167567671391,17.74451446533203,22.542830902233458,0.8635900916185952,0.9158466236851035
har,0.75,64,0,18.34077262878418,32.3648567199707,30.29271726440965,17.062822341918945,19.107978653489496,0.8486596538853071,0.8965049202578894
har,0.75,64,1,19.188636779785156,34.33445739746094,30.11594049554122,16.71774673461914,19.71132002378765,0.8537495758398371,0.9087207329487614
har,0.75,64,2,17.448070526123047,29.50029182434082,28.96104777486701,15.19099235534668,19.399368754604406,0.839837122497455,0.8971835765184933
har,0.75,64,3,18.2767391204834,33.15110778808594,29.913981420951977,15.492897987365723,20.071714518363017,0.827960637936885,0.9056667797760435
har,0.75,64,4,18.9971923828125,33.67668151855469,29.608184295788146,16.342552185058594,19.688115738985832,0.8585001696640652,0.9199185612487275
har,1.0,64,0,18.791894912719727,29.23484230041504,27.117805731923955,15.631492614746094,16.59072846697088,0.841873091279267,0.8893790295215473
har,1.0,64,1,19.4525089263916,31.30923080444336,27.43384155474211,15.495638847351074,17.89505153789855,0.832711231761113,0.9043094672548354
har,1.0,64,2,18.106979370117188,27.84019660949707,26.77348966765822,14.331751823425293,17.928198546694038,0.834407872412623,0.8686800135731252
har,1.0,64,3,18.65064811706543,29.184490203857422,26.570781389872234,15.449957847595215,17.599484895405016,0.8367831693247371,0.9056667797760435
har,1.0,64,4,18.0166072845459,27.86280059814453,26.174981083786278,14.590322494506836,16.58413987410696,0.8391584662368511,0.8937902952154734
har,0.0,512,0,39.699764251708984,94.3309326171875,49.94732234352514,38.19607162475586,39.4828897442734,0.7583983712249746,0.8842891075670173
har,0.0,512,1,40.13754653930664,96.30329132080078,49.931407259221665,40.069175720214844,39.55936823393169,0.7349847302341365,0.8917543264336614
har,0.0,512,2,41.198089599609375,96.49644470214844,49.88640557673939,39.841434478759766,39.71381217554996,0.7611129962673906,0.9233118425517476
har,0.0,512,3,39.90311050415039,93.34880828857422,49.7163153196636,38.539798736572266,39.39689793503075,0.7628096369189006,0.9080420766881574
har,0.0,512,4,41.26199722290039,95.0052490234375,49.90509866413317,40.54716491699219,39.526776932833485,0.7760434340006787,0.9022734984730234
har,0.25,512,0,27.935102462768555,76.14212036132812,47.3138315635815,24.26813316345215,35.40649701837908,0.841533763148965,0.836443841194435
har,0.25,512,1,27.938034057617188,78.46613311767578,47.21084849039713,24.85392189025879,35.88926599736799,0.8266033254156769,0.9267051238547676
har,0.25,512,2,26.47347640991211,75.54943084716797,47.50494200723213,23.90532112121582,35.45399792989095,0.827281981676281,0.7987784187309128
har,0.25,512,3,27.759376525878906,75.88784790039062,47.43543845728824,23.325965881347656,35.88031240095172,0.8181201221581269,0.9009161859518154
har,0.25,512,4,27.77955436706543,76.43043518066406,47.225989291542454,24.275726318359375,35.56803422225149,0.837801153715643,0.9019341703427214
har,0.5,512,0,23.71518898010254,63.712501525878906,43.373651036045004,21.395578384399414,32.004784968861365,0.8673227010519172,0.8710553104852392
har,0.5,512,1,23.790843963623047,66.2391128540039,43.206749865883275,21.094280242919922,31.875461645293655,0.8537495758398371,0.9229725144214456
har,0.5,512,2,23.142719268798828,63.914485931396484,43.26788059033846,20.074785232543945,32.41091065657766,0.842551747539871,0.9077027485578555
